[00:00] 歡迎收看今天《文倩的世界》財經週報。
[16:22] 我們寫了一封信給他們
[16:23] 我們在把電力和氣壓關閉
[16:26] 我們可以利用你的幫助
[16:27] 在3天內他們回覆了
[16:29] 他們聯絡我
[16:31] 在一星期內
[16:32] 我跟6個工程師和經理人
[16:36] 政府和住戶的努力
[16:38] 緘緩滑坡災情
[16:40] 卻擋不住房價暴跌
[16:42] 過去兩年
[16:43] 部分滑坡區房價
[16:45] 甚至跌到2010年代初期
[16:47] 房市崩盤後的水平
[16:50] 不過也有人趁著房價重挫
[16:53] 實現在南加州海岸製產的夢想
[16:57] 史都華就在兩年前
[16:58] 以130萬美元
[17:00] 在葡萄牙灣買下一棟房子
[17:03] 價格大約是市價大對折
[17:06] 我們知道有一個滑坡
[17:08] 但我們做了一個計算的危險
[17:11] 願意賭一把的顯然不止史都華
[17:14] 根據房地產公司
[17:16] Proprietashark統計
[17:18] 從2024年到現在
[17:19] 滑坡區至少賣出11棟房子
[17:23] 不過根據權威房地產網站
[17:26] Retro.com
[17:27] 葡萄牙灣房市
[17:29] 雖已苟延殘喘
[17:31] 但滑坡區其他物件價格
[17:33] 仍高居不下
[17:35] 去年3月
[17:36] 就有一對住在台灣的夫婦
[17:38] 不在意滑坡
[17:40] 以980萬美元
[17:41] 標下一棟望海豪宅
[17:44] 最後卻因颱風喊卡
[17:47] 史都華一家四口一入住
[17:49] 房屋一角就出現地基坍塌
[17:52] 部分院子也開始下滑
[17:55] 他因為滑坡問題
[17:57] 至少已花20萬美元修繕房屋
[18:00] 保險都不支付
[18:02] 而他與其他171戶人家
[18:05] 已將近兩年無法連上公共電網
[18:09] 市政府為了幫助住戶脫離困境
[18:12] 推出了4200萬美元的紓困計畫
[18:16] 預計收購22套微房
[18:18] 但並非所有住戶都有意願
[18:22] 市政府統計
[18:23] 自2022年至今年6月
[18:26] 已花費6500萬美元
[18:28] 解決滑坡問題
[18:30] 這個數字
[18:31] 是全市年度總預算的1.6倍
[18:35] 我們有平均預算
[18:36] 我們很貼近
[18:37] 但我們有我們的資源
[18:38] 但我們不能繼續花
[18:39] 所以我們仍然在找
[18:41] 不同的資金機構
[18:43] 市政府已經宣布
[18:45] 自今年夏天開始
[18:46] 永久禁止在滑坡區興建房屋
[18:50] 政府的禁建令
[18:51] 沒有讓史都華大退堂鼓
[18:54] 他說即使房子沒了
[18:56] 也要搭正棚住在這裡
[18:59] 儘管前方的房子
[19:01] 已經漸漸劃上大海
[19:29] 我們來看一下
[19:31] 禮拜五美國的股市
[19:32] 以及本周的股市
[19:34] 禮拜五的美國股市
[19:36] 道瓊指數漲幅0.7%
[19:38] NASDAQ指數漲幅0.31%
[19:41] S&P漲幅0.3%
[19:44] S&P的股市
[19:46] 已經漲幅0.3%
[19:48] 我們來看一下
[19:49] 禮拜五美國的股市
[19:50] 以及本周的股市
[19:52] 禮拜五的美國股市
[19:53] 道瓊指數漲幅0.7%
[19:56] NASDAQ指數漲幅0.31%
[19:59] 0.5%
[20:01] 很值得注意的是
[20:04] 美元的指數
[20:05] 美元指數本周是
[20:06] 跌幅0.26%
[20:09] 雖然美國的CPI
[20:11] 上漲了4.2%
[20:14] 眼見著聯準會即將升息
[20:16] 但是大家對美元的信心
[20:18] 還不是很高
[20:19] 所以跌幅了0.26%
[20:21] 而黃金期貨
[20:23] 也跌幅了2.24%
[20:25] 白銀期貨
[20:26] 跌幅了1.19%
[20:29] 歐元貶值了0.34%
[20:31] 台幣貶值了0.32%
[20:34] 很多資金
[20:35] 都在大量的移動過來
[20:36] 移動過去
[20:37] 沒有什麼太多的邏輯可言
[20:40] 來看一下AI概念股
[20:42] 跟它的本益比
[20:43] NVIDIA漲幅0.04%
[20:45] 一整周
[20:46] 但重要的是
[20:47] 它的本益比是42%
[20:49] 它雖然是
[20:50] 全世界目前為止
[20:52] 市值最高的公司
[20:54] 但是它的本益比相當高
[20:56] 是42%
[20:57] AMD更高是160%的本益比
[21:00] 它的漲幅是9.69%
[21:04] 本周漲幅非常高
[21:06] Alphabet
[21:07] 它的本益比只有27%
[21:09] 相對前面兩家公司
[21:11] 它的本益比是比較健康的
[21:13] 本周跌幅2.4%
[21:16] 美國其他的科技股價
[21:18] Microsoft
[21:19] 本周跌幅6.22%
[21:22] 然後它的本益比是24.1%
[21:25] Tesla漲幅3.95%
[21:28] 受到SpaceX影響
[21:30] 它的本益比高達317%
[21:33] Amazon本益比28%
[21:36] 跌幅3.04%
[21:39] 美國其他指標股
[21:40] 來看一下
[21:41] 股神的Berkshire Hathaway
[21:43] 本周漲幅0.23%
[21:45] Cisco當年Internet的龍頭老大
[21:48] 本周跌幅0.44%
[21:50] 看一下半導體
[21:51] 半導體台積電ADR
[21:53] 本益比是36%
[21:55] 漲幅201%
[21:56] Intel漲得非常高
[21:58] 大漲25.61%
[22:01] 但是它的本益比高達187%
[22:04] 主要還是受到了川普
[22:06] 所謂國家要入股的影響
[22:08] 另外在本周半導體
[22:10] 其他部分Samsung
[22:12] 跌幅1.98%
[22:14] 海力士漲幅3.86%
[22:17] 在2025年以後
[22:18] 全球晶片公司都做了很多
[22:19] 新的總投資
[22:21] 在排名優裡頭
[22:22] 第一名是三星
[22:23] 第二名是台積電
[22:24] 第三名是Intel
[22:25] 第四名是SK海力士
[22:27] 第五名是NVIDIA
[22:28] 第六名是美光
[22:30] 博通 高通
[22:31] AMD跟德州一氣
[22:34] 一個重要的訊息
[22:35] 是為什麼伊朗戰爭那麼重要
[22:38] 伊朗戰爭目前已經導致
[22:40] 全球原油的庫存
[22:43] 跌破了所謂的白日警戒線
[22:46] 而白日警戒線被認為是一個
[22:48] 心理上頭非常重要的市場指標
[22:51] 一旦跌破了這個白日警戒線
[22:54] 很多相關的像化學
[22:57] 跟能源有關的一些
[22:58] 重要的一些產業等等
[23:00] 都很可能產生
[23:02] 大幅攀升它的成本
[23:05] 包括化工 運輸 農業等
[23:07] 石油 下油產業
[23:09] 都會面臨顯著的
[23:11] 成本的一個壓力
[23:12] 本周的石油價格
[23:15] 我們來看一下
[23:16] 隨著川普一看不對勁了
[23:18] 這個市場大跌
[23:20] 它就馬上改口幾個小時之內
[23:22] 說不轟炸伊朗了
[23:24] 於是紐約原油價格
[23:25] 本周大跌了6.25%
[23:27] 來到了一統84.88%
[23:29] 還是很高
[23:31] 布蘭特原油價格一統86.8%
[23:33] 在伊朗戰爭之前
[23:35] 價格都是在70以下的
[23:37] 跌幅6.76%
[23:39] 天然氣跌幅4.39%
[23:42] 我們來看一下全球市值的排名
[23:44] 前六名已經占比
[23:46] 台灣排第五名
[23:47] 南韓排第六名
[23:48] 印度排第七名
[23:50] 印度跟南韓非常接近
[23:53] 然後中國排第二名
[23:54] 日本排第三
[23:55] 香港排第四
[23:56] 美國排第一
[23:58] 大家好像覺得說
[23:59] 我們很前面了
[24:00] 不過請注意看
[24:01] 在整個股市的總市值裡頭
[24:04] 美國是79兆
[24:06] 而且占全世界總市值的
[24:10] 53.0%
[24:12] 它一個國家就占了超過一半了
[24:14] 而第二名的中國是11.8%
[24:17] 所以是遙遙的落後
[24:20] 是相當的落後了
[24:22] 日本只有5.8%
[24:24] 香港14.8%
[24:26] 台灣是3.4%
[24:27] 南韓是3.3%
[24:30] 為大家來介紹
[24:32] 不要以現在台積電的成就自滿
[24:35] 中國大陸也沒有以自己
[24:37] 什麼市值第二名來自滿
[24:39] 最近中國不斷地在發展
[24:41] 它的新的科技
[24:43] 我們向自己前面為大家介紹了幾個東西
[24:45] 包括它的9129
[24:47] 包括現在大家所知道的Deep City等等
[24:49] 它現在新出來的東西叫做
[24:52] 飛行汽車
[24:53] 這是機器人之外
[24:55] 大家認為說它領先的項目
[24:58] 什麼是飛行汽車
[24:59] 就是低空可以飛行
[25:01] 不會再出賽的很厲害
[25:02] 這對中國很重要
[25:03] 只是中國十五五規劃裡頭
[25:06] 很重要的叫做低空經濟
[25:09] 那低空經濟
[25:10] 中國每次想出一個產業
[25:12] 這個產業通常不是一家公司
[25:14] 而是一個很長的生產鏈
[25:17] 他們認為可以生產鏈達到600家
[25:21] 那日本的日經新聞評估這件事情
[25:24] 它認為中國要推動低空經濟
[25:27] 通常日本對中國都是說中國泡沫化
[25:30] 或是中國就是會垮掉崩潰論
[25:34] 但是它對日本的
[25:36] 這次對中國的低空經濟
[25:38] 它認為它會超越美國
[25:40] 日本來得更快起飛
[25:43] 而它的商業化的案例已經不斷
[25:46] 目前大概可以擁有十兆的市場
[25:50] 你曾經夢過飛行在一個無人機
[25:54] 大到足夠的幾個乘客
[25:57] 沒有機器人的需要
[25:59] 飛行到處去 從城市到城市
[26:01] 這裡是
[26:03] 在天空上的廣州
[26:05] 開啟新的旅遊邊界
[26:08] 也許
[26:10] 中國公司能夠把這些計劃
[26:14] 推到地面上的速度是吸引人的
[26:17] 中國已經在飛機上擁有世界
[26:21] 這次飛行的行程可能會是下一個
[26:24] 曾經只出現在科幻片裡的一幕幕
[26:27] 我們現在下方看到的話
[26:29] 其實就是在羅湖的聯潭
[26:30] 在羅沙路大概這個區域
[26:32] 那這條路的話
[26:33] 平時在我們的市場交流中
[26:35] 比如說我們的上下班
[26:37] 以及我們節假日的時候
[26:38] 它是非常之嚴格的
[26:39] 正逐漸照進現實生活裡
[26:42] 這就是中國正在力推的低空經濟
[26:45] 低空經濟是以各種有人駕駛
[26:49] 和無人駕駛航空器的
[26:51] 各類低空飛行活動為牽引
[26:54] 輻射帶動相關領域
[26:55] 融合發展的綜合性經濟型態
[26:59] 而作為低空經濟的核心賽道之一
[27:02] 飛行汽車EVITO
[27:03] 是空地一體化交通的
[27:05] 電動垂直起降航空器
[27:07] 兼具航空產業和汽車產業兩大基因
[27:11] 中國交通運輸部
[27:13] 為此專門設立的新部門
[27:15] 力求在改領域
[27:16] 領跑美國和日本
[27:18] 日經新聞評論說
[27:20] 為扶持新興產業發展
[27:22] 而在政府內專門設立新部門
[27:25] 實屬罕見
[27:26] 六周十二獎
[27:28] 自動駕駛的兩座的帶空調
[27:31] 和快充的這麼一款飛行器
[27:34] 它的單機售價168萬
[27:37] 從實驗室走向了流水線
[27:40] 希望我們的產品可以快速的
[27:42] 進行市行的符合性驗證
[27:44] 更快地進入我們的場景驗證
[27:47] 這款多選翼飛行汽車
[27:49] 最大航程為三十公里
[27:51] 可搭載兩名乘客
[27:53] 但企業若想實現商業化
[27:55] 產品得先經過非常嚴格的
[27:57] 市行驗證
[27:59] 包括飛鳥撞擊 緊急降落
[28:01] 高低溫環境等測試
[28:03] 每個零件都必須達到
[28:05] 航空等級的安全要求
[28:08] 模擬一個一公斤的鳥
[28:10] 在飛行的時候撞擊我們的
[28:13] 整機最薄弱的地方
[28:14] 就是螺旋槳這個地方
[28:15] 撞完了之後
[28:16] 螺旋槳還能繼續地進行運作
[28:19] 來滿足它的飛行的功能
[28:21] 飛行汽車EVITO通過電力驅動
[28:23] 具有充電方便 噪音小等優勢
[28:27] 而且起飛時不需要長跑道
[28:29] 只需要小面積的區域
[28:31] 就可以實現垂直起降
[28:33] 目前中國投入研製的相關企業
[28:36] 已超六百家
[28:38] 其中 翼航智能的
[28:39] 翼航智慧EH216
[28:41] 是中國首架獲得市行認證的
[28:44] 載人無人飛行汽車
[28:46] 這架是在中國民航局註冊的
[28:49] 這樣一款飛行器
[28:50] 可以看到它身上是有標的
[28:52] 0450
[28:53] 它是有車牌的
[28:54] 是可以進行正常的售票載人飛行的
[28:57] 但想要實現飛的安全
[28:59] 飛得更遠
[29:00] 動力系統是核心基礎
[29:02] 中國獨步全球的電池技術
[29:04] 正被應用到飛行汽車上
[29:07] 透過相互負能
[29:08] 縮短產業化的進程
[29:11] 我現在是在深圳一條
[29:12] 固態電池的中視線
[29:14] 我手中拿的就是一塊固態電池
[29:16] 它最大的特點就是能量密度大
[29:18] 功率高 而且安全性好
[29:20] 它的能量密度是
[29:22] 常規三元鋰電的1.5倍
[29:24] 像這樣一塊手機大小的固態電池
[29:27] 能夠讓500公斤重的EVT
[29:29] 飛行0.5公里
[29:31] 這就是我們的固態電池中視線
[29:34] 目前它已經全線貫通
[29:36] 正式投入使用了
[29:37] 那麼預計今年它的產品
[29:39] 將會用在我們的低空飛行器上
[29:41] 對於飛行器來講的話
[29:42] 它具有高的續航里程
[29:44] 和高的載重能力
[29:46] 預計未來規模化之後
[29:48] 這個成本大概會
[29:49] 降到液態電池的兩倍左右
[29:53] 固態電池用固態電解值
[29:55] 取代了傳統的液態電解液
[29:58] 滿足飛行汽車高安全的
[30:01] 而搭載高能量固態電池的飛行汽車
[30:04] 已經成功飛越了瓊州海峽
[30:07] 下一步在飛行的經濟性方面
[30:10] 提升電池壽命至為關鍵
[30:13] 我們正在解決的核心問題是
[30:15] 它的壽命會比較低
[30:17] 希望說在未來
[30:18] 經過我們的不懈努力
[30:19] 能夠讓它實現和三元鋰電池一樣的
[30:23] 長的壽命
[30:25] 專家表示
[30:26] 目前飛行汽車主要應用在
[30:28] 爭分奪秒的急救轉運
[30:30] 消防救援
[30:31] 或是點對點的高端接駁
[30:34] 放眼未來十年成長期
[30:36] 隨著技術不斷成熟
[30:38] 和生產成本下降
[30:40] 將讓透過轎車APP打飛低
[30:43] 成為可能
[30:44] 飛行汽車的規模化因應
[30:47] 我們預計是在2035年左右
[30:49] 飛行汽車作為一個
[30:50] 大眾日常出行的交通工具來講
[30:53] 這個時候它就有望拉動
[30:54] 是一個十萬億級的市場的規模
[30:57] 不讓中國專美於前
[30:59] 美國和日本目前也由政府和民企
[31:02] 聯合推進相關佈局
[31:04] 不過有外媒分析指出
[31:06] 美國專注於認證
[31:07] 試點計畫
[31:08] 以及建立長期發展
[31:10] 所需的監管框架
[31:12] 中國則致力於
[31:13] 快速部署和商業化
[31:16] 目前這場EVITO競賽
[31:18] 似乎仍有中國領先
[31:27] 讓高科技業界
[31:29] 變成一個新的世界
[31:57] 《EVITO》
[32:21] 你可能看過《Open Timer》這個電影
[32:23] 也可能看過相關的歷史資料
[32:26] 當時是由美國羅斯福總統批准
[32:30] 美國要發展原子彈計畫
[32:32] 這是一個秘密計畫
[32:33] 叫做《Montharton計畫》
[32:35] 連他的副總統杜魯門都不知道
[32:38] 直到他死了以後
[32:40] 才由白宮的幕僚
[32:43] 報告給新繼任的總統杜魯門
[32:46] 而這個《Montharton計畫》
[32:48] 當時事報的地點
[32:49] 以及能不能成功
[32:51] 沒有人曉得
[32:52] 他找了一個很特別的地方
[32:54] 這個地方叫做相樹嶺
[32:57] 而相樹嶺現在大家認為
[32:59] 它是一個很神秘的
[33:01] 很傳奇的一個地方
[33:03] 現在它正在轉型
[33:05] 它要轉型成美國新的
[33:07] AI核能基地
[33:09] 包括核融合等等
[33:11] 今天我們就來到了
[33:13] 原子彈製造事報的起源地
[33:16] 在Tennessee州
[33:18] 相樹嶺在Tennessee
[33:20] 84年前他們為了要事報
[33:23] 就把原來的住民都趕走了
[33:25] 然後變成軍事重鎮
[33:27] 被趕走的人也不知道
[33:28] 他們幹嘛被趕走
[33:30] 也不知道這裡發生了什麼事情
[33:32] 更難預料這個地方會產生原子彈
[33:35] 從此改變了人類的歷史
[33:37] 也結束了二次世界大戰
[33:42] 它是世界史上最大的工廠工程
[33:46] 結果是20世紀最重要的事件
[33:51] 從1942到1946年
[33:54] 美國政府
[33:56] 執行了一個非常高級的工程
[33:58] 叫做曼哈頓工程
[34:00] 只有總統Franklin D. Roosevelt
[34:02] 和一大堆最高級的軍事官員
[34:05] 和政府官員
[34:06] 知道這個大工程
[34:10] 這裡是美國
[34:11] 田納西州東部的相樹嶺
[34:13] 80多年前這裡人間稀少
[34:16] 方圓200多公里內
[34:17] 只有3000人居住
[34:19] 1942年10月的某一天
[34:22] 所有居民突然被要求強制搬遷
[34:25] 英文軍方看中這裡的地形
[34:27] 和水力發電優勢
[34:29] 要展開一項神秘計畫
[34:32] 很快的
[34:33] 大批工程車和工人進駐
[34:35] 每天可蓋好40多棟組合屋
[34:38] 沒多久
[34:39] 相樹嶺很快成長成了一個
[34:41] 擁有75000名居民的超大型社區
[34:45] 躍升為田納西州的第五大城市
[34:48] 然而地圖上卻完全找不到
[34:51] 它的存在
[34:52] 其他的田納西州州民
[34:54] 也完全沒聽過
[34:55] 因為相樹嶺是刻意
[34:57] 被美國政府隔離的神秘城鎮
[35:00] 所有居民都不能對外透露工作內容
[35:05] 城市的接觸
[35:06] 被人員和居民
[35:08] 都被限制
[35:10] 每個人都做了自己的工作
[35:13] 但被禁止與別人談論工作
[35:17] 保密房鐵是相樹嶺居民的最大共識
[35:20] 到處都可看到大型海報寫著
[35:23] 無論看到 聽到或做過什麼
[35:26] 離開這裡時
[35:27] 就讓一切留在這裡
[35:30] 在這工作居住的人只知道
[35:32] 這裡的任務攸關戰爭
[35:35] 你去做這個工作
[35:37] 你不知道什麼
[35:38] 你不知道產品
[35:40] 你不知道裡面有什麼
[35:43] 試試看
[35:46] 蓋特林當時在相樹嶺
[35:47] 負責監看用來分離幼童位數的
[35:50] 電磁型童位數分離器數據儀表
[35:53] 當時約有一萬名
[35:54] 剛從高中畢業的年輕女孩
[35:56] 從事和他一樣的工作
