[00:30] 主導世界的國家是擁有大型的AI語言模型的國家公司。
[06:09] 整個股票飆升得不得了,
[06:12] 最後泡沫掉了,最後再整合了。
[06:15] 還有20世紀初的電力公司,
[06:19] 本來都是很小的電力公司,
[06:21] 然後電力公司的股價都高得不得了,
[06:24] 最後也泡沫掉了,然後互相併購,
[06:27] 就變成現在這種大而笨的電力公司。
[06:30] 整體人類經歷了好幾波,
[06:33] 2000年的Internet Bubble大家都記得比較清楚,
[06:36] 當時的龍頭老大是Cisco,
[06:38] 那一次是所有的公司幾乎都面臨泡沫化的問題。
[06:43] 所以現在我們所看到的SpaceX,
[06:47] SpaceX是火箭,
[06:49] 但是它也參與了AI人工聚會,
[06:52] 那OpenAI或是Antropa這幾家公司,
[06:56] 將來要主導我們未來的十年,未來的二十年。
[07:01] 十年之後它們還在不在,
[07:03] 是不是別的公司又超越它們,
[07:05] 是由Google Alphabet這幾家公司超越它們,
[07:08] 還是什麼故事,還有長長的等我們去看,
[07:13] 等它們去展現。
[07:17] - 伊朗莫斯科是人類歷史上第一名人類企業,
[07:22] 在幾分鐘前SpaceX開始交易,
[07:24] 立即超過20%的投資。
[07:27] - SpaceX現在,
[07:29] 這早上Bloomberg已經報道了,
[07:31] 四次超過訂閱。
[07:32] 我意思是,
[07:33] 有投資人們在那邊說,
[07:36] 你只要玩它,
[07:37] 你只要玩它,
[07:38] 因為如果你不玩它,
[07:39] 然後它上升了,
[07:40] 那你真的會失望。
[07:42] 我覺得這真的會是一個很大的問題,
[07:44] 這不只是空氣設施和通訊設施,
[07:47] 你會認為AI是未來嗎?
[07:51] 短短兩個星期,
[07:52] Anthropic以及OpenAI
[07:54] 相繼向美國證券交易委員會
[07:56] 遞交IPO申請,
[07:58] 緊接著就是萬眾矚目的SpaceX上市首秀。
[08:02] 為什麼AI巨頭們全部選在此時走向華爾街,
[08:06] 引爆這波市值總額估計將達30%。
[08:09] - 因為我們在這兩天的開幕,
[08:11] 引爆這波市值總額估計將達3.6兆美元的
[08:15] 超級IPO資本大戰。
[08:17] 投資人們現在對AI充滿興奮,
[08:20] 在一個已經有的程度上,
[08:22] 但他們在結果上發展了股價的股價。
[08:25] 所以我認為主要原因就是,
[08:26] 他們認為現在是一個很好的時候,
[08:28] 去賣出股價。
[08:29] 換句話說,就是打鐵趁熱。
[08:31] 過去兩個月,
[08:32] 推高美股行情的全是AI概念股,
[08:35] AMD漲了200%,
[08:37] Micron上漲300%,
[08:39] Sandyx過去一年漲幅更超過1000%,
[08:43] 或許沒有比AI概念股及體狂標之際,
[08:46] 更適合讓這些AI巨頭上市的時機。
[09:09] 華爾街日報指出,
[09:11] 這場AI競賽最終可能演變成一場混戰,
[09:15] 因為像Google等科技大廠,
[09:17] 為了推動AI基礎建設,
[09:19] 透過增加股權發行量融資,
[09:22] 卻稀釋了現有股東權益,
[09:24] 對股價造成承受影響。
[09:26] 而在這場AI競賽中,
[09:28] 華爾街日報指出,
[09:30] 這場AI競賽最終可能演變成一場混戰,
[09:33] 因為像Google等科技大廠,
[09:35] 為了推動AI基礎建設,
[09:37] 透過增加股權發行量融資,
[09:39] 卻稀釋了現有股東權益,
[09:41] 對股價造成沉重壓力。
[09:43] 這也是引發近期美國科技類股
[09:45] 重挫的主因之一。
[10:07] 很多人的退休金是用來負責
[10:10] S&P500,
[10:12] NASDAQ100,
[10:14] 和相似的資金,
[10:16] 他們會很快地
[10:17] 要用來負責SpaceX,
[10:19] 在一個不常見的方式。
[10:21] 儘管有聲音質疑市場上
[10:23] 是否有足夠資金,
[10:25] 來支撐三個兆級企業接連上市,
[10:27] 但與總市值70兆美元的
[10:29] 美股規模相比,
[10:31] 許多分析師認為,
[10:33] 這三樁超級IPO估計
[10:35] 約2000億美元,
[10:37] 其實只佔一小部分而已。
[10:39] 彭博社直言,
[10:41] 同時負責SpaceX,
[10:43] Anthropic和OpenAI上市案的
[10:45] 高盛與摩根史坦利才是最大贏家。
[10:47] 經濟學人進一步分析,
[10:49] 對於主導股票銷售的投行來說,
[10:51] 會希望在對公司最有利的
[10:53] 時機點拋售股票,
[10:55] 這意味著拋售股票的公司認定,
[10:57] 現在已經接近牛市頂峰,
[10:59] 而對買方來說,
[11:01] 則可能面臨
[11:03] 在市場步入衰退前夕接盤的風險。
[11:33] 這些AI新貴在上市前,
[11:35] 沒人看過他們的財務報表,
[11:37] 是否真能交出
[11:39] 配得上他們天價市值的利潤表現
[11:41] 仍充滿問號。
[11:45] 例如本頁是火箭發射
[11:47] 跟太空運輸的SpaceX,
[11:49] 目前只有衛星部門
[11:51] 星鏈有賺錢,
[11:53] 而今年才正式被併入其商業版圖的人工智慧公司XAI,
[11:57] 根據官方監管文件,
[11:59] 光是在XAI的公司上市,
[12:01] 就燒掉了高達64億美元。
[12:03] 至於OpenAI,
[12:05] 根據執行長奧特曼對外透露的數字,
[12:07] OpenAI目前每個月創造約20億美元的營收,
[12:09] 成長速度遠遠超越
[12:11] Google和Facebook等網路巨頭,
[12:13] 然而這樣的成長是靠砸錢換來的。
[12:15] OpenAI在數據中心、
[12:17] 算力以及AI模型訓練上的投資,
[12:19] 估計今年將虧損140億美元,
[12:21] 這也是促使開發的
[12:23] 開發的數字。
[12:25] 開發的數字,
[12:27] 開發的數字,
[12:29] 這也是促使其上市籌資的動機之一,
[12:31] 這也是促使其上市籌資的動機之一,
[12:33] 但實現營利仍相當遙遠,
[12:35] 最快也要到2030年。
[12:37] 但實現營利仍相當遙遠,
[12:39] 最快也要到2030年。
[12:51] 就在Anthropic與競爭對手準備上市之際,
[12:53] 就在Anthropic與競爭對手準備上市之際,
[12:55] 他們卻大聲疾呼暫停先進AI的研發,
[12:57] 並提議政府實質介入被質疑背後的商業算計。
[12:59] 並提議政府實質介入被質疑背後的商業算計。
[13:01] 目的是拖慢對手的研發步伐,
[13:03] 目的是拖慢對手的研發步伐,
[13:05] 好讓Anthropic穩住AI龍頭寶座。
[13:27] 我認為政府有一個角色在設立標準,
[13:29] 幫助我們認識、追蹤、避免危險。
[13:31] 幫助我們認識、追蹤、避免危險。
[13:33] 所以政府也必須做其一的部分,
[13:35] 我認為政府也必須做其一的部分。
[13:57] 如何讓中國的國家,
[13:59] 當全球的藝術知識者,
[14:01] 當全球的藝術知識者,
[14:03] 成為好演員、負責人的國家?
[14:05] 成為好演員、負責人的國家?
[14:07] 我認為他們不會成為他們的國家。
[14:09] 我認為他們不會成為他們的國家。
[14:11] 如果我們是在AI領導者,
[14:13] 如果我們是在AI領導者,
[14:15] 我認為我們應該繼續做,
[14:17] 我認為我們應該繼續做,
[14:19] 我們就能讓對手,
[14:21] 我們就能讓對手,
[14:23] 讓對手,
[14:25] 能夠達成最少的限制。
[14:27] 我們不會成為他們的國家。
[14:29] 我們不會成為他們的國家。
[14:31] 我對中國不信任。
[14:53] 我對中國不信任。
[15:23] 你這樣跟中國有什麼差別?
[15:25] 對不起,他們實在知識太遜了。
[15:27] 他跟日本也沒差別。
[15:29] 日本也有國營事業,
[15:31] 台灣也有國營事業,韓國也有國營事業,
[15:33] 英國也有國營事業,法國也有國營事業。
[15:35] 只有美國沒有腦袋,
[15:37] 從不看其他的國家,
[15:39] 不知道人家都有國營事業。
[15:41] 這跟資本主義的發展本身是一個修正。
[15:43] 這跟資本主義的發展本身是一個修正。
[15:45] 就不讓某些公司,
[15:47] 尤其是民生,
[15:49] 或者是屬於太大的公司,
[15:51] 完全是被民間所掌握。
[15:53] 另外一個情況,
[15:55] 是這次川普提議的
[15:57] 比較像的就是AI。
[15:59] 為什麼?它很像台積電。
[16:01] 它是一個完全新的科技。
[16:03] 它所需要的資金,
[16:05] 它在市場上可以找到,
[16:07] 跟台積電的情況並不相同,
[16:09] 需要國家出錢。
[16:11] 但是國家出錢並不表示國家進行干預,
[16:13] 也不是國家進行補貼,
[16:15] 而是國家在這裡頭,
[16:17] 參與未來AI可以分紅,
[16:19] 讓老百姓可以拿到錢,
[16:21] 而且讓國家可以有稅收。
[16:23] 唯一跟他意見一樣的是Sanders。
[16:25] 唯一跟他意見一樣的是Sanders。
[16:27] Sanders本來是一個美國民主黨的左派,
[16:29] Sanders本來是一個美國民主黨的左派,
[16:31] 突然跟川普的意見一樣,
[16:33] 你只能說川普不是右派,
[16:35] 也不是左派,
[16:37] 他是50派。
[16:50] 乘著AI浪潮,
[16:52] 往前衝的華爾街指數,
[16:54] 何止創下53次新高記錄。
[16:56] 這項川普在2月國情滋混時,
[16:58] 拿來自誇的股市震機,
[17:00] 來到6月更上層樓,
[17:02] 超過80次之多。
[17:04] 左右共和黨能否繼續完全執政的美國國會,
[17:07] 其中選舉剩下5個月就要進行投票。
[17:10] 介於油價與生活成本,
[17:12] 遭因美英戰事節節上升,
[17:14] 而在經濟議題支持律師中低迷的川普,
[17:17] 新生一計,
[17:19] 何不把AI紅幣包裝成大選吸票機,
[17:21] 拿下勝利。
[17:48] 川普的想法非常簡單,
[17:50] AI絕不是會引爆失業潮,
[17:52] 只會搶走全民工作的可怕工具,
[17:55] 而是只要政府選擇入股AI企業,
[17:58] 透過持股形式向全民分紅,
[18:01] 就能成為有錢大家賺的經濟母。
[18:17] 所有的大選,
[18:19] 將會到白宮,
[18:21] 可能下週。
[18:36] 隨著OpenAI渴望在今年下半年,
[18:39] 與M4PIC先後掛牌NASDAQ,
[18:41] 進行估值上看一兆美金,
[18:43] 早已轟動市場的首次公開上市,
[18:46] 白宮內部對於要讓美國全民成為AI革命合夥人的支持度,
[18:52] 解決上升。
[18:53] 然而,
[18:54] 有美國政治觀察家對於川普的AI分紅提案,
[18:57] 感到難以理解,
[18:59] 這不就是認同他的邏輯嗎?
[19:16] 這段時間,
[19:17] 50%的稅務,
[19:19] 不在利益上,
[19:21] 而是在財產上。
[19:22] 現在是政治革命的時間。
[19:26] 政治革命!
[19:46] 在能源與物價雙重高氣下,
[19:48] 全美民眾尤其是中下階級的生活條件,
[19:52] 構想是對所有美國上市AI企業,
[19:55] 就公司股權課徵一次性50%稅率,
[19:59] 但不是直接派發全民現金,
[20:01] 而是把所得款項用來成立公眾基金,
[20:05] 賦予全民股權、董事會代表權,
[20:08] 以及獲得公司派發紅利的權利。
[20:17] 我將會在短短時間內與12至15位行政人員交談,
[20:23] 我們會談論把財產給公眾,
[20:27] 如果我們做到,
[20:28] 公眾會變得非常富有,
[20:31] 因為這就是我們所談的金錢。
[20:35] 我認為他們會做到,
[20:37] 我認為會讓它非常受歡迎。
[20:39] 當你考慮分享AI的優勢,
[20:42] 你對美國政府的財政意見,
[20:44] 在META中有什麼大量的財產?
[20:46] 我們聽過一些議題,
[20:51] 我們認為這就是公司的正確方向,
[20:55] 去做他們所做的投資。
[20:57] 我們都在提高資金,
[21:01] 確保我們在建設和社區中投資,
[21:04] 也在投資在公眾中。
[21:12] 在AI論壇上,
[21:13] META高層的回答已極其完整,
[21:16] 與其讓國家把銀魚派發全民分紅,
[21:19] 絕對不如企業自行運用,
[21:21] 創造更高效的投資來得有力。
[21:24] 說到底,
[21:25] 川普的AI分紅論,
[21:26] 或許基於他看懂基層選民,
[21:29] 焦慮AI搶走工作範圍,
[21:31] 做出政治提案。
[21:33] 與桑德斯想確保股市融行,
[21:35] 不會只集中在少數科技大亨手中,
[21:38] 所謂的AI企業國有化論點,
[21:41] 與其相同。
[21:42] 然而,
[21:43] 3月才卸任白宮加密事務負責人,
[21:45] 前PayPal營運長薩克斯,
[21:47] 已在個人社群嚴正警告,
[21:49] 政府若過度介入AI產業,
[21:52] 不就與社會主義國家無異。
[21:54] 若美國在AI競賽中擊敗中國,
[21:57] 最終卻建立起一套向中共內亞制度,
[22:01] 美國也不算真正贏得了這場AI競賽。
[22:04] 但有趣也諷刺的是,
[22:06] 早在桑德斯公開表態之前,
[22:08] 不遺餘力向白宮推銷AI分紅概念的有力人士,
[22:12] 正是業界自己人。
[22:24] 川普二任至今,
[22:25] 多次為拉攏美國政府投資AI基礎建設,
[22:29] 奔走白宮內部的OpenAI執行長奧特曼,
[22:32] 及時早了桑德斯一步向白宮私下推銷,
[22:36] 何不讓全民共享由AI產業驅動的美國經濟成果,
[22:41] 由政府持股AI企業。
[22:43] 尤其在今年吹起一股AI新創增強IPO的風潮後,
[22:48] 奧特曼在華埔的遊說動作也更加積極。
[22:56] 6月11日,
[22:57] 華爾街因傳出美伊舊停站備忘錄達成共識,
[23:00] 市場欣喜惑狂,
[23:02] 道瓊便狂飆了900多點。
[23:05] AI分紅論始終是建立在美股多頭不滅的假設之上,
[23:09] 美國知名財富雜誌便在許多美國納稅人歡欣鼓舞之際,
[23:14] 提出數字試圖讓討論回歸理性。
[23:18] 440億美元是OpenAI自行評估2023-2029年將虧損的總金額,
[23:25] 馬克思的XAI2025年僅賺得32億美元收入,
[23:30] 卻虧損了兩倍之多的64億美金。
[23:34] 唯有今年5月首次實現盈利季度的AnthroPix例外,
[23:39] 在還無法斷定這些名聲響亮的AI新創是否具有盈利能力之前,
[23:45] 白宮至今尚未回答的一個問題是,
[23:48] 持有每年燒掉幾百億美元的公司股份,
[23:52] 會不會只是一種裹著高級包裝的爛攤子補貼?
[24:04] 5月首次實現盈利季度的CPI上升了3年,
[24:33] 而現在已達4.2%。
[24:35] 主要是石油價格的關係。
[24:37] 而川普說沒關係,我愛通通。
[24:40] 他說這句話絕對不是真心的。
[24:43] 那歌大著名的經濟學教授Jeffrey Sox,
[24:46] 他就提到了美國的K型經濟。
[24:49] 他說K型經濟也不需要用這麼尖色的名稱來說。
[24:54] 他簡單的來講,你根本就是用錯誤的煽動型的語言,
[25:00] 來掩蓋美國貧富不窮、勞動所得被剝奪的真相。
[25:06] Jeffrey Sox的看法說,你怪中國移民,
[25:09] 卻不提示科技轉型,才導致美國的所得如此分配不均。
[25:16] 你也沒有對科技公司課徵更高的稅,
[25:20] 而他們取得了這個社會不成比例的財富,
[25:26] 他們對這個社會的貢獻,他們所取得的財富,
[25:30] 跟他們所繳的稅完全沒有公平正義可言。
[25:34] 所以Jeffrey Sox就說,現在AI來了,
[25:37] 它會更進一步的加劇美國的所得不均。
[25:42] 而美國少數的精英成AI浪潮,或是以前晶片的浪潮,
[25:47] 讓個人的身家企業市值迅速的累積。
[25:51] 但他們到的很好嗎?
[25:54] 像Bill Gates還惹上了Apple's tie-in,
[25:57] 他是微軟當年美國市值第一的公司。
[26:01] 而底層的民眾就靠著利率、信用卡、苦衷的生活。
[26:08] 美國現在的卡債,我看數字也嚇一跳,
[26:12] 是一兆美金,卡債這麼高。
[26:15] 所以Jeffrey Sox痛批川普說,你到現在當總統,當了一屆了。
[26:21] 當第二屆已經第二年了,你還沒想出方法,你只會罵移民偷走了工作,
[26:27] 誰偷走了工作。
[26:29] 而你唯一提出來可以賺錢的是什麼?軍工業。
[26:32] 就是你想靠戰爭把財。
[26:51] 川普在2016年和2024年受苦時,
[26:57] 在一段很精彩的政治傳播中,他就說中國人搶了你的工作。
[27:07] 他說移民搶了你的工作。
[27:13] 他沒有說科技改變了我們的生活,再次重新提供了國際薪金。
[27:20] 這是正確的答案。
[27:44] 在他看來,美國底層民眾之所以薪資收入停滯,
[27:48] 全美社會財富嚴重分配不均的根本原因,其實是工業技術40年來大躍進使然。
[27:56] 但川普在政策論述中卻絕口不提,反而歸咎給錯誤的原因。
[28:02] 以至於對任何國家開打貿易戰,下令那些自動化工廠搬錢回美,
[28:07] 還是聘僱不了大量人工,把消失的工作還給美國藍領。
[28:12] 尤其當安朗潮正席捲而來之際。
[29:13] 薩克斯更進一步批評他對川普經濟政策最詬病之處,
[29:18] 不只是在面對民生問題時,一味包裝成都是不可靠、壞利、因素使然,
[29:24] 更沒有透過制度的建立解決技術革命與AI浪潮先後帶給美國社會的不均。
[29:31] 反而是反其道而行的,把大筆國家預算砸向情報監控,
[29:36] 置入美國軍工保護科技與軍工具的口袋。
[29:43] 薩克斯尤其點名近年替川普政府大舉進行反恐與維安監控,
[29:51] 矽谷戰爭新貴美國大數據分析公司Palantir。
[29:56] Palantir來自美國政府的營收,正以年增50%補的驚人速度成長。
[30:03] 2026年公司總營收估計突破70億美元。
[30:09] 執行長卡普的個人身價則在AI與軍事雙重利多推高股價之下,
[30:15] 水漲船高。
[30:16] 卡普正是薩克斯口中,地緣衝突加劇,五角大廈國防預算暴增下
[30:22] 迎來財富狂歡的美國少數精英。
[30:38] 如果你看到西里根峰,如果你看到AI風格,
[30:44] 現在AI風格是為了自動武器,Palantir的資訊系統等等。
[30:52] 對,如果你們是少數擁有我們的政府的人,這就很棒了。
[30:58] 但是對於美國人來說,他們不相信正在發生什麼事。
[31:03] 特朗普的批評率達到34%。
[31:10] 我認為是最新的經濟報告中的批評率是58%。
[31:17] 但在某些地方,是58%至60%。
[31:19] 人們都很討厭。
[31:23] 當戰爭結束後,它就會下降。
[31:26] 它就會下降得像石頭一樣。
[31:29] 白宮記者會議上,川普繼續用他的政治話術把通膨升高歸咎為外敵作斷。
[31:35] 堅持只要驅離外敵,通膨必然下降。
[31:39] 然而美國的高通膨數字,不可能在美伊戰事終止後馬上直線下降,是經濟學上的基本常識。
[31:48] 薩科斯警告,在極度重視股市、全面擁抱科技軍工兩大產業的川普帶領下,
[31:55] 美國只會繼續走向上層樂局大數鈔票、低層甚至無法正常消費生活的雙軌經濟。
[32:25] 川普的戰爭,在美伊戰事終止後馬上直線下降。
[32:31] 川普的戰爭,在美伊戰事終止後馬上直線下降。
[32:34] 我們聽這句話大概聽了快二三十年。
[32:38] 等到他真的成功之後,聲音就更大了。
[32:41] 就叫做朝鮮半島無核化。
[32:44] 而自從朝鮮成功地製造出核子武器,就開始希望制裁。
[32:50] 他不可以做核子試爆,不可以做這個,不可以做那個。
[32:54] 接著有了俄國戰爭,朝鮮跟俄羅斯緊緊的結盟。
[33:00] 接著川普上台,又有了伊朗戰爭,根本沒有人在管朝鮮發生了什麼事情。
[33:06] 但習近平知道他必須做點什麼。
[33:10] 他最近訪問了朝鮮,問朝鮮跟以前的差別在哪裡。
[33:15] 朝鮮以前他的老大哥只有一個就是中國。
[33:18] 當全球在制裁他的時刻,我們可以看到很多人就會拍攝一些影片。
[33:24] 然後就有麵粉,就有哪些糧食,哪些煤礦,各種東西進進出出壓力降口進到了朝鮮。
[33:32] 這使得全球對朝鮮的制裁效果有限。
[33:37] 而朝鮮的經濟最近正迎來好幾年來最好的一個經濟。
[33:42] 他的繼承人,金正恩的繼承人也找到了。
[33:45] 金正恩甚至被非常著名的Graham Alarcon,就是美中必有一戰的作者,也是美國哈佛大學的教授,點名。
[33:57] 如果全世界真的美國跟中國會起衝突的話,他說答案不是為了台灣,是因為朝鮮。
[34:07] 朝鮮使得美國跟中國思考我要不要參與這場戰爭。
[34:13] 而習近平這次訪問朝鮮完全不提吳和化這件事情。
[34:20] 他知道現在朝鮮跟俄羅斯的關係已經超過了朝鮮跟北京的關係。這是第一點。
[34:28] 第二點,某程度日本本身加入了美國對抗中國的聯盟高市早秒的政策,
[34:37] 而習近平也在朝鮮政策裡頭不想扮演所謂的警察角色,他也樂意看到朝鮮可以牽制日本。
[34:50] 而這次他訪問朝鮮,朝鮮給他的這代規格還是相當的高,但是金正恩特別自才身價。
[34:59] 他到訪前高調地炫耀練右離心機,就是在習近平到之前我先練給你看,你不要來勸我這件事。
[35:09] 而北韓現在擁有60枚的核彈頭,近兩噸的濃縮鈾的庫存,所以習近平到這裡學口不提吳和化,也是完全第一位中國領導者,沒使了北韓永和的地位。
[35:28] 這場峰會的真正時機絕非去年金正恩訪金後的常會會訪,而是巧妙的潛在習近平接連會晤了川普與普丁之後,一場各懷鬼胎充滿地緣算計的戰略對標。
[35:51] 2024年6月普丁造訪平朗,雙方簽訂全面戰略夥伴關係協議,確立集體安全的互助承諾。
[35:58] 此後北韓提供火炮導彈,甚至派兵支援二五展現,二方則以外匯折扣的油氣與可能的軍事技術作為交換。
[36:07] 換言之,莫斯科正在用北京不敢給、不能給也不願公開給的東西,換取平朗的忠誠,即便中俄兼有著戰略互信。
[36:16] 但中國在半島的影響力活生生被俄羅斯橫刀切入。
[36:33] 說白了,這不是習近平單純的回訪,而是來抽回原屬於中國的北韓牌,重塑對平朗的影響力。
[36:46] 而誰上了談判桌也許就見了陣仗。
[37:15] 中方除了中共中央辦公廳主任蔡奇,外長汪毅與黨紀交流的中聯部部長劉海星,負責頂層設計的戰略規劃外,還有發改委商務部的一把手。
[37:26] 這與七年前的陣仗一樣,黨政經與北韓全面對接。
[37:30] 而中國防長董軍則是首次隨同習近平訪問平朗。
[37:34] 邊境貿易、能源與糧食向來是北京調控中朝關係的恐懼,莫斯科的介入與禁足也讓中國再開更大的經濟支票。
[37:43] 但董軍的參與就有多層遺憾。不只是簡單的軍事交流,更多的是來摸清北韓的闔家地。
[37:59] 習近平到訪前夕,北韓官媒高調曝光,金正恩視察,有濃縮工廠。
[38:13] 事實上,北韓過去在寧邊核設施,利用廢燃料棒提煉布,並建立第一批核武的基本盤。
[38:19] 但核反應爐與水塔的排放,難以躲過間諜衛星的檢控。
[38:23] 2024年9月,北韓首次公開更為隱密的理性機工廠,標誌著荷蘭的研發,改採與伊朗一樣的濃縮油技術如今。
[38:32] 比起提煉布彈,濃縮油的速度更快,而北韓至今已有三座這類的工廠。
[38:43] 據SWIS think tank,星期六的Stockholm International Peace Research Institute,
[38:50] 它表示,北韓可能有足夠的濃縮物資,可以製造90枚核彈頭。
[38:58] 史德哥爾摩國際和平研究所的估算,北韓現在可年產100至150公斤的武器集有,
[39:04] 庫存約1.5至2噸,足以年產6到10枚核彈頭。
[39:08] 這成了北韓官媒宣稱核武庫能以幾核極速增長的儀器。
[39:13] 金正恩更以視察行動告知北京,要來談半島無核化,基本沒門。
[39:19] 稍早的西川會後,華府公佈了新聞稿中能有半島無核化的共同目標,但中方文件已沒有這樣的論述。
[39:26] 即便習近平這一次平壤之行中,也不見任何無核化的表述,相反的,北韓一直在告訴中國,其擁核地位已是不可逆的事實。
[39:38] 當前並沒有任何國際法院承認所謂的擁核國家,發展核武反而受到1968年不擴散核武器條約的限制與國際制裁。
[39:47] 但北韓希望依循印度與巴基斯坦模式,將獲得國際承認核武地位的目標視為逐步解除制裁的途徑。
[39:54] 而北京為平壤開啟了這個制裁,並且不斷地提出核武的實力。
[40:01] 北韓現在更關心核武反對,不僅在北韓和亞洲的現代核心核武反對。
[40:09] 北韓也有核武超級機構,而日本更危險。
[40:15] 他們總是確認能夠製造核武,但北韓卻不斷地提出核武反對。
[40:22] 北韓也有核武超級機構,而日本更危險。
[40:28] 他們總是確認能夠製造核武,但北韓卻不斷地提出核武,但北韓卻不斷地提出核武,
[40:34] 但北韓卻不斷地提出核武,
[40:39] 所以北韓總是沒有提出核武,並且沒有提出核武,
[40:44] 並且沒有提出核武,
[40:48] 也沒有提出核武,
[40:51] 並且沒有提出核武,
[40:54] 也沒有提出核武,
[40:58] 那就是兩種問題。
[41:02] 半島無文化從外交目標變成歷史名詞,
[41:06] 習近平的這次訪問充滿著地緣博弈下的戰略妥協
[41:10] 因為比起北韓擁核
[41:12] 北京更在意的是日本右傾的軍事化
[41:15] 中朝這場血盟大戲是各取所需的交易
[41:18] 金正恩這條艦型的紅毯
[41:20] 似乎同向身不見底的核軍備近散深淵
[41:24] 我們在台灣看到有一些媒體
[41:26] 那一些媒體本身它的立場性很高
[41:29] 就是說高市早苗的民調大幅滑落
[41:34] 可是事實上我們看到NHK的民調
[41:37] 高市早苗的民調它只比5月下降了1%
[41:42] 這等於是完全沒有下降
[41:44] 支持它的仍然有60%
[41:46] 當然最早最支持它的高達70%
[41:49] 是它喊出日本要修憲回到安保
[41:53] 那在這個情況裡頭
[41:55] 日本的大和民族主義的支持者
[41:57] 當然會給它很大的鼓勵
[41:59] 不過它的支持度仍然位置在相當高的60%
[42:02] 而它不支持只有比5月上升了3%
[42:06] 是26%
[42:08] 最值得注意的是
[42:09] 最支持它的是40多歲的族群高達70%
[42:14] 而這一群40多歲的日本年輕人
[42:17] 他們是誕生在日本機器消失的30年當中
